TERM,TERM_DESCRSHORT,CRN,SUBJECT,COURSE_NUMBR,SECTION_NUMBER,CRSE_DESCR,UM_MODALITY,SCHD_DESC,SECTION_ENROLLMENT,SECTION_CAP,SECTION_CREDITS,CREDITS_HIGH,CREDITS_LOW,CLASS_INST_ID,CLASS_INSTR_NAME,APPT_DEPT_DESCRIPTION,COLLEGE_SCHOOL,JOBCODE,JOBCODE_DESCRIPTION
202420,Winter 2024,24187,BIO,453,M1,Evolution and Adaptation,Mixed Mode,Online/Web Based,25,24,100,4,4,98110382,"Dawson, Heather",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24188,BIO,553,M1,Evolution and Adaptation,Mixed Mode,Online/Web Based,1,24,4,4,4,98110382,"Dawson, Heather",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24839,BIO,583,99,Special Topics,Independent Study,Study,1,5,3,4,1,98110382,"Dawson, Heather",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24802,BIO,599,98,Thesis Research,Independent Study,Research,4,5,11,5,1,98110382,"Dawson, Heather",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24793,SCM,712,W1,Applied Qualitative Methods,Fully Online,Online/Web Based,12,40,36,3,3,88814126,"De Villa Correa, Maria",Flint School of Management,Flint Management Dean,201050,VISITING PROFESSOR
202420,Winter 2024,24329,ECN,202,W4,Prin of Econ (Micro-Econ),Fully Online,Online/Web Based,13,13,39,3,3,57550950,"DeFrance, William","Flint Economics, Flint Education",Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24769,ECN,202,W5,Prin of Econ (Micro-Econ),Fully Online,Online/Web Based,17,17,51,3,3,57550950,"DeFrance, William","Flint Economics, Flint Education",Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24360,EDL,702,W1,School Reform & Comm Partners,Fully Online,Online/Web Based,18,30,54,3,3,57550950,"DeFrance, William","Flint Economics, Flint Education",Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24718,MUS,240,01,The Musicals of Broadway,In Person,Lecture/Discussion,4,30,12,3,3,85492926,"Dean, Stephanie",Flint Theatre and Dance,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24864,THE,100,W4,Introduction to the Theatre,Fully Online,Online/Web Based,32,30,96,3,3,85492926,"Dean, Stephanie",Flint Theatre and Dance,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24672,THE,240,01,The Musicals of Broadway,In Person,Lecture/Discussion,12,30,36,3,3,85492926,"Dean, Stephanie",Flint Theatre and Dance,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24328,ECN,201,W3,Prin of Econ (Macro-Econ),Fully Online,Online/Web Based,7,7,21,3,3,61860460,"Derbin, Edward",Flint Economics,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24633,ECN,201,W4,Prin of Econ (Macro-Econ),Fully Online,Online/Web Based,21,23,63,3,3,61860460,"Derbin, Edward",Flint Economics,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24022,ECN,314,W1,Money & Banking,Fully Online,Online/Web Based,17,30,51,3,3,61860460,"Derbin, Edward",Flint Economics,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,23482,MUS,142,01,Music Theory II,In Person,Lecture/Discussion,10,20,30,3,3,78107179,"Di Blassio, Brian",Flint Music,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,23483,MUS,144,01,Aural Harmony II,In Person,Laboratory,9,20,18,2,2,78107179,"Di Blassio, Brian",Flint Music,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,20393,MUS,204,01,Jazz Combo,In Person,Performance,1,8,1,1,1,78107179,"Di Blassio, Brian",Flint Music,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,20394,MUS,404,01,Jazz Combo,In Person,Performance,5,8,5,1,1,78107179,"Di Blassio, Brian",Flint Music,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24830,CIT,391,99,Independent Study,Independent Study,Study,1,5,3,3,1,14957264,"Donaldson, E. Shirl",Flint Engineering,Flint College of Innov. & Tech,202000,ASST PROFESSOR
202420,Winter 2024,24638,DMT,380,01,Lean Manufacturing,In Person,Lecture/Discussion,10,35,40,4,4,14957264,"Donaldson, E. Shirl",Flint Engineering,Flint College of Innov. & Tech,202000,ASST PROFESSOR
202420,Winter 2024,24366,EDL,990,W1,Dissertation I,Fully Online,Online/Web Based,15,30,21,4,1,12760330,"Donovan, Jeramy",Flint Education,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,23224,EDM,424,01,Methods of Teaching Math,In Person,Lecture/Discussion,16,30,48,3,3,12760330,"Donovan, Jeramy",Flint Education,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,23936,IES,300,01,Classroom Organization,In Person,Lecture/Discussion,26,30,78,3,3,12760330,"Donovan, Jeramy",Flint Education,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,24293,IES,462,01,Content-Based Field Experience,In Person,Field Work,14,30,42,3,3,12760330,"Donovan, Jeramy",Flint Education,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,24352,ECE,225,01,Play & Learning,In Person,Lecture/Discussion,3,30,9,3,3,55674319,"Dorfman, Aviva",Flint Education,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24387,ECE,440,H1,Assessment in ECE,Hyperflex,On Campus or Online,8,30,24,3,3,55674319,"Dorfman, Aviva",Flint Education,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24287,IES,100,01,Learning Sciences & Engagement,In Person,Lecture/Discussion,27,30,81,3,3,55674319,"Dorfman, Aviva",Flint Education,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24237,IES,220,01,"Play, Creative Thinking & Int",In Person,Lecture/Discussion,19,30,57,3,3,55674319,"Dorfman, Aviva",Flint Education,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24388,IES,350,01,Assessment in Education,In Person,Lecture/Discussion,28,30,84,3,3,55674319,"Dorfman, Aviva",Flint Education,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24653,ECN,395,99,Intern in Applied Econ,Independent Study,Field Work,1,5,3,6,3,44273880,"Douglas, Christopher",Flint Economics,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24312,ECN,480,H1,Quantitative Methods for Admin,Hyperflex,On Campus or Online,10,30,30,3,3,44273880,"Douglas, Christopher",Flint Economics,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24025,ECN,499,W1,Issues in Economics,Fully Online,Online/Web Based,2,5,6,3,3,44273880,"Douglas, Christopher",Flint Economics,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24313,PUB,580,H1,Quantitative Methods for Admin,Hyperflex,On Campus or Online,7,30,21,3,3,44273880,"Douglas, Christopher",Flint Economics,Flint CASE,201000,PROFESSOR
202420,Winter 2024,20287,HCR,376,W1,Health Care Administration,Fully Online,Online/Web Based,33,30,99,3,3,22350900,"Drautz, Anthony",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24536,HCR,384,M1,Issues in Prog Implementation,Mixed Mode,Online/Web Based,15,30,45,3,3,22350900,"Drautz, Anthony",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24538,HED,541,M1,Program Planning & Design,Mixed Mode,Online/Web Based,1,30,3,3,3,22350900,"Drautz, Anthony",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24539,HED,541,W1,Program Planning & Design,Fully Online,Online/Web Based,3,30,9,3,3,22350900,"Drautz, Anthony",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24721,AFA,270,W1," Race, Ethnic and Institut Rac",Fully Online,Online/Web Based,10,30,30,3,3,55317970,"Drummond-Lewis, Sasha","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,23660,SOC,215,01,General Statistics,In Person,Lecture/Discussion,10,30,30,3,3,55317970,"Drummond-Lewis, Sasha","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24663,SOC,215,W1,General Statistics,Fully Online,Online/Web Based,25,30,75,3,3,55317970,"Drummond-Lewis, Sasha","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24275,SOC,270,W1," Race, Ethnic and Institut Rac",Fully Online,Online/Web Based,22,30,66,3,3,55317970,"Drummond-Lewis, Sasha","Flint Soc,Anthropology & CJ",Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24163,ART,132,01,Drawing II,In Person,Lecture/Discussion,6,15,18,3,3,91907052,"Dubrovich, Alla",Flint Art & Art History,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24164,ART,141,01,Two-Dimensional Design,In Person,Lecture/Discussion,18,18,54,3,3,91907052,"Dubrovich, Alla",Flint Art & Art History,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24739,ART,309,M1,Oil Painting,Mixed Mode,Mixed Mode,10,15,30,3,3,91907052,"Dubrovich, Alla",Flint Art & Art History,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,24776,ART,395,99,Adv Studio Prob-2 Dimensional,Independent Study,Study,2,5,6,6,1,91907052,"Dubrovich, Alla",Flint Art & Art History,Flint CASE,202840,LEO Lecturer II
202420,Winter 2024,22633,BIO,432,01,Mammalian Physiology,In Person,Lecture/Discussion,20,20,80,4,4,49979904,"Duncan, Randall",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,23608,BIO,505,M1,Scientific Methodology,Mixed Mode,Mixed Mode,8,18,32,4,4,49979904,"Duncan, Randall",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,22667,BIO,532,01,Mammalian Physiology,In Person,Lecture/Discussion,2,4,8,4,4,49979904,"Duncan, Randall",Flint Biology,Flint College of Innov. & Tech,201000,PROFESSOR
202420,Winter 2024,24565,PTP,712,W1,Post-Prof Neuroscience in PT,Fully Online,Online/Web Based,12,20,24,2,2,09697990,"Dundas, Janice",Flint Physical Therapy,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24408,EDS,699,W1,Student Teaching Seminar,Fully Online,Online/Web Based,3,30,9,3,3,27585936,"Eaton, Katherine",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,23942,IES,424,01,Science Methods,In Person,Lecture/Discussion,14,30,42,3,3,27585936,"Eaton, Katherine",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,24292,IES,435,W1,Science Content Support,Fully Online,Online/Web Based,14,30,14,1,1,27585936,"Eaton, Katherine",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,24811,IES,481,99,Independent Study,Independent Study,Study,1,5,3,3,1,27585936,"Eaton, Katherine",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,24296,IES,499,01,Student Teaching Seminar,In Person,Lecture/Discussion,32,36,96,3,3,27585936,"Eaton, Katherine",Flint Education,Flint CASE,202000,ASST PROFESSOR
202420,Winter 2024,22958,HCR,101,W1,Physical Fitness,Fully Online,Online/Web Based,31,30,93,3,3,55142637,"Eisenbeis, Helen",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,22959,HCR,203,01,Personal Health,In Person,Lecture/Discussion,24,25,72,3,3,55142637,"Eisenbeis, Helen",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,22963,HCR,203,02,Personal Health,In Person,Lecture/Discussion,24,25,72,3,3,55142637,"Eisenbeis, Helen",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,22971,HCR,206,01,Health Sciences Applications,In Person,Lecture/Discussion,13,26,26,2,2,55142637,"Eisenbeis, Helen",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24005,PHS,247,W2,Public Health Statistics,Fully Online,Online/Web Based,21,25,63,3,3,64599780,"Ekstrom, Andrew",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202820,LEO Lecturer I
202420,Winter 2024,22722,HIS,112,W1,World History to 1400,Fully Online,Online/Web Based,24,30,72,3,3,49383272,"Ellis, John",Flint History,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24029,HIS,301,W1,History Capstone Seminar,Fully Online,Online/Web Based,15,15,45,3,3,49383272,"Ellis, John",Flint History,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24038,HIS,374,W1,Hist of Brit Empire since 1790,Fully Online,Online/Web Based,20,30,60,3,3,49383272,"Ellis, John",Flint History,Flint CASE,201000,PROFESSOR
202420,Winter 2024,22861,INT,112,W1,World History to 1400,Fully Online,Online/Web Based,2,30,6,3,3,49383272,"Ellis, John",Flint History,Flint CASE,201000,PROFESSOR
202420,Winter 2024,24740,ART,342,W1,Design III: Spatial Temporal,Fully Online,Online/Web Based,21,15,63,3,3,32182857,"Everett, Scott",Flint Art & Art History,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,22466,ART,376,W1,Design IV: Info & Exp Design,Fully Online,Online/Web Based,18,18,54,3,3,32182857,"Everett, Scott",Flint Art & Art History,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,23204,NUR,345,W2,Nursing and HCR Informatics,Fully Online,Online/Web Based,35,44,70,2,2,47718845,"Fahr, Noelle",Flint Nursing,Flint Nursing,202820,LEO Lecturer I
202420,Winter 2024,24833,NUR,345,W4,Nursing and HCR Informatics,Fully Online,Online/Web Based,24,30,48,2,2,47718845,"Fahr, Noelle",Flint Nursing,Flint Nursing,202820,LEO Lecturer I
202420,Winter 2024,23350,PPA,534,01,Patient Eval PA Practice IV,In Person,Lecture/Lab,49,50,392,8,8,86125823,"Falls, Chasity",Flint Physician Asst Program,Flint College Health Sciences,202140,CLINICAL ASST PROF
202420,Winter 2024,24877,CIT,100,01,Technology Foundations,In Person,Lecture/Lab,19,30,76,4,4,87259876,"Ferreira, Thiago",Flint Info Tech & Informatics,Flint College of Innov. & Tech,202000,ASST PROFESSOR
202420,Winter 2024,24631,ITI,200,01,Intro to Cloud Computing,In Person,Lecture/Lab,36,35,144,4,4,87259876,"Ferreira, Thiago",Flint Info Tech & Informatics,Flint College of Innov. & Tech,202000,ASST PROFESSOR
202420,Winter 2024,24221,LIN,200,W1,Introduction to Linguistics,Fully Online,Online/Web Based,28,30,84,3,3,34648948,"Feuerherm, Emily",Flint English,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24206,TEL,410,W1,TESOL Seminar & practicum,Fully Online,Online/Web Based,12,15,72,6,6,34648948,"Feuerherm, Emily",Flint English,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24828,CHM,299,99,Supervised Chem Research,Independent Study,Research,1,5,3,3,1,19944489,"Fhaner, Matthew",Flint Dept of Chem/Biochem,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24099,CHM,460,01,Advanced Analytical Chemistry,In Person,Lecture/Discussion,5,24,15,3,3,19944489,"Fhaner, Matthew",Flint Dept of Chem/Biochem,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,24101,CHM,461,01,Advanced Analytical Chm Lab,In Person,Laboratory,4,12,4,1,1,19944489,"Fhaner, Matthew",Flint Dept of Chem/Biochem,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,21181,MGT,347,W1,Managing Projects & Teams,Fully Online,Online/Web Based,44,50,132,3,3,32330833,"Fields, Rita",Flint School of Management,Flint Management Dean,202880,LEO Lecturer IV
202420,Winter 2024,24480,MGT,445,W1,Human Resource Development,Fully Online,Online/Web Based,22,45,66,3,3,32330833,"Fields, Rita",Flint School of Management,Flint Management Dean,202880,LEO Lecturer IV
202420,Winter 2024,24515,MGT,549,F1,Leadership in Organizations,Hyperflex,Online/Web Based,39,40,117,3,3,32330833,"Fields, Rita",Flint School of Management,Flint Management Dean,202880,LEO Lecturer IV
202420,Winter 2024,22685,NUR,220,01,Fundamentals of Nursing,In Person,Lecture/Discussion,7,8,42,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,22686,NUR,220,02,Fundamentals of Nursing,In Person,Lecture/Discussion,8,8,48,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,23091,NUR,220,03,Fundamentals of Nursing,In Person,Lecture/Discussion,7,8,42,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,23092,NUR,220,04,Fundamentals of Nursing,In Person,Lecture/Discussion,7,8,42,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,23093,NUR,220,05,Fundamentals of Nursing,In Person,Lecture/Discussion,7,8,42,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,23094,NUR,220,06,Fundamentals of Nursing,In Person,Lecture/Discussion,8,8,48,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,24551,NUR,220,07,Fundamentals of Nursing,In Person,Lecture/Discussion,7,8,42,6,6,21469504,"Filos, Deborah",Flint Nursing,Flint Nursing,202140,CLINICAL ASST PROF
202420,Winter 2024,23775,NUR,904,W1,Research and Implementation,Fully Online,Online/Web Based,17,25,51,3,3,80277811,"Filter, Marilyn",Flint Nursing,Flint Nursing,201000,PROFESSOR
202420,Winter 2024,24424,NUR,904,W2,Research and Implementation,Fully Online,Online/Web Based,23,25,69,3,3,80277811,"Filter, Marilyn",Flint Nursing,Flint Nursing,201000,PROFESSOR
202420,Winter 2024,24425,NUR,910,W1,DNP Scholarly Project,Fully Online,Online/Web Based,7,15,7,3,1,80277811,"Filter, Marilyn",Flint Nursing,Flint Nursing,201000,PROFESSOR
202420,Winter 2024,24758,MUS,125,01,String Class,In Person,Performance,21,30,21,1,1,42221088,"Forsleff, Matthew",Flint Music,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,20485,MUS,203,01,University Orchestra,In Person,Performance,10,25,10,1,1,42221088,"Forsleff, Matthew",Flint Music,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,20486,MUS,403,01,University Orchestra,In Person,Performance,8,25,8,1,1,42221088,"Forsleff, Matthew",Flint Music,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,21472,ANE,701,W1,Scholarly Project Development,Fully Online,Online/Web Based,9,15,9,1,1,37006096,"Franckowiak, Amy",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202140,CLINICAL ASST PROF
202420,Winter 2024,21872,ANE,704,W1,Scholarly Proj Dissemination,Fully Online,Online/Web Based,9,15,9,1,1,37006096,"Franckowiak, Amy",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202140,CLINICAL ASST PROF
202420,Winter 2024,21871,ANE,705,M1,Crisis Resource Management,Mixed Mode,Mixed Mode,28,30,56,2,2,37006096,"Franckowiak, Amy",Flint Dept Pub Hlth & Hlth Sci,Flint College Health Sciences,202140,CLINICAL ASST PROF
202420,Winter 2024,24140,DAN,100,W1,Intro to Dance and Soc Justice,Fully Online,Online/Web Based,30,30,90,3,3,50909764,"Freiman, Beth",Flint Theatre and Dance,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,24773,DAN,151,W1,Culture of Hip Hop Dance,Fully Online,Online/Web Based,16,15,48,3,3,50909764,"Freiman, Beth",Flint Theatre and Dance,Flint CASE,202880,LEO Lecturer IV
202420,Winter 2024,24411,NUR,307,W1,Integrated Case Studies in NUR,Fully Online,Online/Web Based,23,30,69,3,3,50122844,"Fulks, Elizabeth",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23125,NUR,335,01,Parent/Child Nursing,In Person,Field Work,6,8,36,6,6,50122844,"Fulks, Elizabeth",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23126,NUR,335,02,Parent/Child Nursing,In Person,Field Work,6,8,36,6,6,50122844,"Fulks, Elizabeth",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23127,NUR,335,03,Parent/Child Nursing,In Person,Field Work,7,8,42,6,6,50122844,"Fulks, Elizabeth",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23128,NUR,335,04,Parent/Child Nursing,In Person,Field Work,6,8,36,6,6,50122844,"Fulks, Elizabeth",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,23129,NUR,335,05,Parent/Child Nursing,In Person,Field Work,7,8,42,6,6,50122844,"Fulks, Elizabeth",Flint Nursing,Flint Nursing,202000,ASST PROFESSOR
202420,Winter 2024,24572,CIS,128,W2,Intro to Comp Info Sys I,Fully Online,Online/Web Based,34,35,102,3,3,59397772,"Galerneau, Quentin",Flint Computer Science,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,24579,CSC,122,W1,Intro to Programming,Fully Online,Online/Web Based,16,35,48,3,3,59397772,"Galerneau, Quentin",Flint Computer Science,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,24581,CSC,122,W2,Intro to Programming,Fully Online,Online/Web Based,34,35,102,3,3,59397772,"Galerneau, Quentin",Flint Computer Science,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,24592,CSC,175,01,Problem Solving & Progrming I,In Person,Lecture/Lab,33,35,132,4,4,59397772,"Galerneau, Quentin",Flint Computer Science,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,22282,PHY,243,01,Principles of Physics I,In Person,Lecture/Lab,32,32,160,5,5,10626316,"Ganguly, Rajib",Flint Physics,Flint College of Innov. & Tech,201500,ASSOC PROFESSOR
202420,Winter 2024,22397,PSY,313,W1,Developmental Psychology,Fully Online,Online/Web Based,29,30,87,3,3,56924601,"Gano-Phillips, Susan",Flint Psychology,Flint CASE,201000,PROFESSOR
202420,Winter 2024,22398,PSY,313,W2,Developmental Psychology,Fully Online,Online/Web Based,27,30,81,3,3,56924601,"Gano-Phillips, Susan",Flint Psychology,Flint CASE,201000,PROFESSOR
202420,Winter 2024,22000,PHL,170,W1,Disabilities Studies,Fully Online,Online/Web Based,16,30,48,3,3,97232112,"Gawel, Lisa",Flint Philosophy,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,22001,WGS,170,W1,Disabilities Studies,Fully Online,Online/Web Based,13,30,39,3,3,97232112,"Gawel, Lisa",Flint Philosophy,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,22471,ART,379,01,Community Design Studio,In Person,Lecture/Discussion,11,15,33,3,3,02424583,"Gaydos, Benjamin",Flint Art & Art History,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,23893,ART,398,99,Internship in Art,Independent Study,Field Work,2,5,6,6,1,02424583,"Gaydos, Benjamin",Flint Art & Art History,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24015,AFA,101,01,Intro to Africana Studies,In Person,Lecture/Discussion,10,40,30,3,3,37616272,"Gemeda, Guluma",Flint Africana Studies Dept,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24019,AFA,101,02,Intro to Africana Studies,In Person,Lecture/Discussion,17,40,51,3,3,37616272,"Gemeda, Guluma",Flint Africana Studies Dept,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24017,AFA,101,03,Intro to Africana Studies,In Person,Lecture/Discussion,22,40,66,3,3,37616272,"Gemeda, Guluma",Flint Africana Studies Dept,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,24785,AFA,391,99,Directed Readings in AFA Study,Independent Study,Study,1,5,3,3,1,37616272,"Gemeda, Guluma",Flint Africana Studies Dept,Flint CASE,201500,ASSOC PROFESSOR
202420,Winter 2024,22113,PPA,541,01,PA Professional Issues I,In Person,Lecture/Discussion,50,50,50,1,1,46925700,"Gilkey, Stephanie",Flint Physician Asst Program,Flint College Health Sciences,201640,CLINICAL ASSOC PROF
202420,Winter 2024,24361,EDL,752,W1,Adv Supervision & Hmn Rsc. Mgt,Fully Online,Online/Web Based,18,30,54,3,3,55706580,"Grace, Shamarion",Flint Education,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,24389,SEC,330,01,Seminar in Methods,In Person,Lecture/Discussion,15,30,45,3,3,55706580,"Grace, Shamarion",Flint Education,Flint CASE,202820,LEO Lecturer I
202420,Winter 2024,22277,PHY,143,01,College Physics I,In Person,Lecture/Lab,31,32,124,4,4,78023984,"Grafe, Alan",Flint Physics,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,23964,PHY,143,02,College Physics I,In Person,Lecture/Lab,31,32,124,4,4,78023984,"Grafe, Alan",Flint Physics,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,23974,PHY,145,02,College Physics II,In Person,Lecture/Discussion,21,32,84,4,4,78023984,"Grafe, Alan",Flint Physics,Flint College of Innov. & Tech,202880,LEO Lecturer IV
202420,Winter 2024,24108,ESS,100,W1,Intro to Env. Science,Fully Online,Online/Web Based,9,15,36,4,4,14314512,"Green, Garry","Flint Geo, Planning & Environ",Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24805,ESS,100,W2,Intro to Env. Science,Fully Online,Online/Web Based,29,25,116,4,4,14314512,"Green, Garry","Flint Geo, Planning & Environ",Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24318,ESS,151,W1,Great Lakes Geography Geology,Fully Online,Online/Web Based,43,40,172,4,4,14314512,"Green, Garry","Flint Geo, Planning & Environ",Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24319,URP,116,W1,Human Geography,Fully Online,Online/Web Based,27,45,81,3,3,14314512,"Green, Garry","Flint Geo, Planning & Environ",Flint College of Innov. & Tech,202840,LEO Lecturer II
202420,Winter 2024,24170,EHS,220,01,Bldg Sust Comm: Tchng&SWK,In Person,Lecture/Discussion,18,25,54,3,3,69965227,"Grigg, Nancy",Flint Social Work,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,23286,EHS,220,02,Bldg Sust Comm: Tchng&SWK,In Person,Lecture/Discussion,23,25,69,3,3,69965227,"Grigg, Nancy",Flint Social Work,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,22708,EHS,220,W1,Bldg Sust Comm: Tchng&SWK,Fully Online,Online/Web Based,27,25,81,3,3,69965227,"Grigg, Nancy",Flint Social Work,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,24807,SWR,121,W2,SWK Focused Wrtg & Values Clar,Fully Online,Online/Web Based,21,25,21,1,1,69965227,"Grigg, Nancy",Flint Social Work,Flint College Health Sciences,202840,LEO Lecturer II
202420,Winter 2024,23260,SWR,350,W1,Social Work with Groups,Fully Online,Online/Web Based,26,25,78,3,3,94065388,"Groden, Sheryl",Flint Social Work,Flint College Health Sciences,202000,ASST PROFESSOR
202420,Winter 2024,23262,SWR,441,W1,SWK Methods IV: Macro Applicat,Fully Online,Online/Web Based,32,33,96,3,3,94065388,"Groden, Sheryl",Flint Social Work,Flint College Health Sciences,202000,ASST PROFESSOR
